Product Name,Calories,Protein,Carbohydrates,Fat,Sugars,Category,Serving Size,DietarySuitability,ContainsGluten,ContainsDairy,ContainsNuts,ContainsPeanuts,ContainsSoy,ContainsEggs,ContainsSesame,ContainsFish,IsDiabeticFriendly,ContainsMeat,Image
"Bulgur, cooked with white beans and tomatoes",112,5.3,15.3,1.7,1,Additio0fVegetables,100,Vegan,0,0,0,0,0,0,0,0,0,0,PIC/Beef_and_turkey_patties_fried_fat_0t_added.png
"Leben, cooked",41,2.2,2.2,2.6,2.2,Dairy,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/Leben_cooked.png
"Leben, cooked with onion",43,2.1,3.6,2.2,2.8,Dairy,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/Leben_cooked_with_onion.png
"Ice cream, half-cooked/fudge brownies/vanilla/cherry garcia, Ben and Jerry's ",322,3.9,36,20.4,,Desserts,100,Vegan,0,1,0,0,0,0,0,0,0,0,PIC/
"Sauce, mushroom, from powdered soup with margarine, homemade",85,2,10,3.7,1.9,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/Sauce_mushroom_from_powdered_soup_with_margarine.png
,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
"Cheese, mozzarella, with breadcrumbs, fried in olive oil, homemade",363,23,10.7,25.1,0.6,Dairy,100,Vegan,1,1,0,0,0,0,0,0,0,0,PIC/Cheese_mozzarella_baked_with_whole_wheat_breadcrumbs.png
"Cheese, mozzarella, with breadcrumbs, fried in ca0la oil",363,23.1,10.8,25.1,0.6,Dairy,100,Vegan,1,1,0,0,0,0,0,0,0,0,PIC/Cheese_mozzarella_baked_with_whole_wheat_breadcrumbs_2.png
"Cheese, mozzarella, with breadcrumbs, fried in corn oil",364,23,10.7,25.1,0.6,Dairy,100,Vegan,1,1,0,0,0,0,0,0,0,0,PIC/Cheese_salty_baked_with_whole_wheat_breadcrumbs.png
"Cheese, salty, crumbed, fried in ca0la oil",349,12.4,13.9,26.9,3,Dairy,100,Vegan,0,1,0,0,0,0,0,0,0,0,PIC/Cheese_balls_baked_with_whole_wheat_breadcrumbs.png
"Cheese balls, fried in ca0la oil, homemade",264,12.7,26,11.6,3.4,Dairy,100,Vegan,0,1,0,0,0,0,0,0,0,0,PICCheese_balls_baked_with_whole_wheat_breadcrumbs.png
"Beef steak, broiled or baked, cooked, lean only eaten",164,28.9,0,5.3,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_steak_broiled_or_baked_lean_only.png
"Beef, steak, rib eye, grilled",152,20.1,0,8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_steak_rib_eye_grilled.png
"Beef, steak, fried in soy oil",189,20.7,0,11.9,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/Beef_steak_fried_in_soy_oil.png
"Beef, steak, cooked in fresh tomato-based tomato sauce , with soy oil",169,16.8,3.3,9.8,2,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/Beef_steak_cooked_in_tomato_sauce_with_soy_oil.png
"Beef steak, fried, lean and fat eaten",183,28.4,0,7.7,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_steak_fried_lean_and_fat.png
"Beef steak, fried, lean only eaten",161,29,0,5,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_steak_fried_lean_only_1.png
"Beef steak, braised, lean and fat eaten",251,30.8,0,13.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_steak_fried_lean_only_2.png
"Beef, shortribs, cooked, lean and fat eaten",467,21.4,0,41.6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_steak_braised_lean_and_fat_1.png
"Beef, shortribs, cooked, lean only eaten",293,30.5,0,18,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_steak_braised_lean_and_fat_2.png
"Beef, ribs, cooked",201,24.3,1.1,8.3,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_roast_baked_roasted_1.png
"Beef, roast beef, baked, roasted",154,23.2,0.9,5.1,0.3,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_roast_baked_roasted_1.png
"Beef, pot roast, braised or boiled, lean and fat eaten",155,29.1,0,4.3,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_roast_baked_roasted_2.png
"Beef, goulash, cooked, meat only",171,23.8,0.1,8.4,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_pot_roast_braised_boiled_lean_and_fat_2.png
"Beef, pot roast, braised or boiled, lean only eaten",251,30.8,0,13.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_pot_roast_braised_boiled_lean_and_fat_1.png
"Beef, foreshank, cooked",125,16.5,1,6,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_foreshank.png
"Beef, stew meat, cooked, lean only eaten",251,30.8,0,13.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_stew_meat_cooked_lean_only_1.png
"Beef, shin shank, cooked",315,35.5,0,19,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_shin_shank_cooked.png
"Beef, cooked with red beans, in tomato sauce with soy oil",126,8.9,10.5,4.2,1.1,Additio0fVegetables,100,Vegan,0,0,0,0,1,0,0,0,0,1,PIC/Beef_cooked_with_red_beans_tomato_sauce_olive_oil.png
"Beef, cooked with chickpeas and beans in tomato sauce and soy oil",110,7.3,7.7,4.6,1.5,Additio0fVegetables,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/Beef_cooked_with_chickpeas_beans_tomato_sauce.png
"Beef, cooked in wine, with carrot, onion and  soy oil",160,13.8,2.2,9.1,1.1,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/Beef_cooked_in_wine_carrot_onion_herbs.png
"Beef, breast, cooked",232,21.5,0.9,12.8,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_breast_cooked.png
"Beef, ground, fried in olive oil",173,14.8,2.1,11.7,0.4,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_patties_cooked_in_tomato_paste_soy_oil.png
"Beef, patties, cooked in tomato paste, with soy oil",135,10,9.3,6.1,2.9,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/Beef_patties_cooked_in_tomato_paste_with_soy.png
"Beef and turkey patties, cooked in tomato sauce, with soy oil",109,10.9,8.7,3.1,3.2,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,1,0,0,0,1,1,PIC/Beef_turkey_patties_cooked_in_tomato_sauce.png
"Beef and turkey patties, fried, fat 0t added",153,17.7,7.6,5.1,1.1,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_turkey_patties_fried__added_fat.png
"Beef, ground with vegetable protein, cooked",241,23.6,1.9,14.4,0.2,Additio0fVegetables,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_ground_with_vegetable_protein_cooked.png
"Pork, NS as to cut, cooked, lean and fat eaten",192,28.4,0,8.1,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Beef_protein_turkey_patties_fried_fat_0t_added.png
"Pork, NS as to cut, cooked, lean only eaten",161,29.4,0,4.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Pork_cooked_lean_and_fat.png
"Pork, NS as to cut, fried, NS as to fat eaten",192,28.4,0,8.1,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Pork_cooked_lean_only.png
"Pork chop, fried, lean only eaten",161,29.4,0,4.2,0,Meat,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,1,PIC/Pork_fried_NS_fat_eaten.png
"Ham, fresh, cooked, lean and fat eaten",271,26.6,0,17.5,0,Dish,100,"Vegan,  DiabeticFriendly",0,0,0,0,0,0,0,0,1,0,PIC/Pork_chop_fried_lean_only.png
